"id","composer","composition","movement","ensemble","source","transcriber","catalog_name","seconds","armony"
1764,"Schubert","4 Impromptus","2. Impromptu in A-flat major","Solo Piano","Charlie Albright","Jeruen Espino Dery","OP142",438,"G#+"
1765,"Schubert","4 Impromptus","3. Impromptu in B-flat major","Solo Piano","Charlie Albright","Jeruen Espino Dery","OP142",676,"A#+"
1766,"Schubert","4 Impromptus","4. Impromptu in F minor","Solo Piano","Charlie Albright","Jeruen Espino Dery","OP142",427,"F-"
1768,"Schubert","Piano Sonata in A major","2. Andante","Solo Piano","Museopen","Segundo G. Yogore","D664",290,"A+"
1771,"Schubert","Piano Sonata in D-flat major","1. Allegro moderato","Solo Piano","Museopen","Segundo G. Yogore","D568",647,"C#+"
1772,"Schubert","Piano Sonata in D-flat major","2. Andante molto","Solo Piano","Museopen","Segundo G. Yogore","D568",417,"C#+"
1773,"Schubert","Piano Sonata in D-flat major","3. Menuetto. Allegretto","Solo Piano","Museopen","Segundo G. Yogore","D568",307,"C#+"
1775,"Schubert","Piano Sonata in D major","1. Allegro vivace","Solo Piano","Museopen","Segundo G. Yogore","D850",578,"D+"
1776,"Schubert","Piano Sonata in D major","2. Con moto","Solo Piano","Museopen","Segundo G. Yogore","D850",726,"D+"
1777,"Schubert","Piano Sonata in D major","3. Scherzo. Allegro vivace","Solo Piano","Museopen","Segundo G. Yogore","D850",629,"D+"
1788,"Mozart","String Quartet No 19 in C major","1. Adagio - Allegro","String Quartet","Museopen","Gunter R. Findenegg","K465",513,"C+"
1789,"Mozart","String Quartet No 19 in C major","2. Andante cantabile","String Quartet","Museopen","Gunter R. Findenegg","K465",461,"C+"
1790,"Mozart","String Quartet No 19 in C major","3. Menuetto. Allegro","String Quartet","Museopen","Gunter R. Findenegg","K465",323,"C+"
1791,"Mozart","String Quartet No 19 in C major","4. Allegro molto","String Quartet","Museopen","Gunter R. Findenegg","K465",351,"C+"
1792,"Mozart","String Quartet No 19 in C major","1. Adagio - Allegro","String Quartet","European Archive","Gunter R. Findenegg","K465",472,"C+"
1793,"Mozart","String Quartet No 19 in C major","2. Andante cantabile","String Quartet","European Archive","Gunter R. Findenegg","K465",504,"C+"
1805,"Mozart","String Quartet No 14 in G major","1. Allegro vivace assai","String Quartet","European Archive","Gunter R. Findenegg","K387",356,"G+"
1807,"Mozart","String Quartet No 14 in G major","3. Andante cantabile","String Quartet","European Archive","Gunter R. Findenegg","K387",444,"G+"
1811,"Mozart","Clarinet Quintet in A major","2. Larghetto","Clarinet Quintet","William McColl","Reinier B. Bakels","K581",489,"A+"
1812,"Mozart","Clarinet Quintet in A major","3. Menuetto","Clarinet Quintet","William McColl","Reinier B. Bakels","K581",466,"A+"
1813,"Mozart","Clarinet Quintet in A major","4. Allegretto con variazioni","Clarinet Quintet","William McColl","Reinier B. Bakels","K581",591,"A+"
1817,"Mozart","Serenade in E-flat major","2. Menuetto","Pairs Clarinet-Horn-Bassoon","Soni Ventorum Wind Quintet","Oliver Seely","K375",250,"D#+"
1818,"Mozart","Serenade in E-flat major","3. Adagio","Pairs Clarinet-Horn-Bassoon","Soni Ventorum Wind Quintet","Oliver Seely","K375",407,"D#+"
1819,"Mozart","Serenade in E-flat major","4. Menuetto","Pairs Clarinet-Horn-Bassoon","Soni Ventorum Wind Quintet","Oliver Seely","K375",177,"D#+"
1822,"Mozart","String Quartet No 15 in D minor","1. Allegro moderato","String Quartet","Museopen","Gunter R. Findenegg","K421",460,"D-"
1824,"Mozart","String Quartet No 15 in D minor","3. Menuetto and Trio. Allegretto","String Quartet","Museopen","Gunter R. Findenegg","K421",252,"D-"
1828,"Mozart","Piano Trio No 4 in E major","2. Andante grazioso","Piano Trio","European Archive","Michael Iscenko","K542",265,"E+"
1829,"Mozart","Piano Trio No 4 in E major","3. Allegro","Piano Trio","European Archive","Michael Iscenko","K542",421,"E+"
1835,"Mozart","String Quartet No 23 in F major","3. Menuetto. Allegretto","String Quartet","European Archive","Gunter R. Findenegg","K590",236,"F+"
1859,"Mozart","String Quartet No 18 in A major","2. Menuetto and Trio","String Quartet","European Archive","Gunter R. Findenegg","K464",392,"A+"
1872,"Mozart","Piano Trio No 3 in B-flat major","2. Larghetto","Piano Trio","European Archive","Michael Iscenko","K502",509,"A#+"
1873,"Mozart","Piano Trio No 3 in B-flat major","3. Allegretto","Piano Trio","European Archive","Michael Iscenko","K502",366,"A#+"
1876,"Mozart","Piano Trio No2 in G major","2. Andante","Piano Trio","European Archive","Michael Iscenko","K496",356,"G+"
1893,"Mozart","Piano Trio No 6 in G major","3. Allegretto","Piano Trio","European Archive","Michael Iscenko","K564",325,"G+"
1916,"Dvorak","String Quartet No 10 in E-flat major","1. Allegro ma non troppo","String Quartet","Museopen","Benjamin R. Tubb","OP51",675,"D#+"
1918,"Dvorak","String Quartet No 10 in E-flat major","3. Romanza","String Quartet","Museopen","Benjamin R. Tubb","OP51",367,"D#+"
1919,"Dvorak","String Quartet No 10 in E-flat major","4. Finale","String Quartet","Museopen","Benjamin R. Tubb","OP51",434,"D#+"
1922,"Dvorak","String Quartet No 10 in E-flat major","3. Romanza","String Quartet","European Archive","Benjamin R. Tubb","OP51",402,"D#+"
1923,"Dvorak","String Quartet No 10 in E-flat major","4. Finale","String Quartet","European Archive","Benjamin R. Tubb","OP51",393,"D#+"
1931,"Dvorak","String Quartet No 12 in F major","2. Lento","String Quartet","Museopen","Masahiro Ishii","OP96",471,"F+"
1932,"Dvorak","String Quartet No 12 in F major","3. Molto vivace","String Quartet","Museopen","Masahiro Ishii","OP96",250,"F+"
1933,"Dvorak","String Quartet No 12 in F major","4. Finale: vivace ma non troppo","String Quartet","Museopen","Masahiro Ishii","OP96",351,"F+"
2075,"Cambini","Wind Quintet No 1 in B-flat Major","1. Allegro maestoso","Wind Quintet","Soni Ventorum Wind Quintet","Oliver Seely","JOHN1",329,"A#+"
2076,"Cambini","Wind Quintet No 1 in B-flat Major","2. Larghetto cantabile","Wind Quintet","Soni Ventorum Wind Quintet","Oliver Seely","JOHN1",247,"A#+"
2077,"Cambini","Wind Quintet No 1 in B-flat Major","3. Rondo Allegretto grazioso","Wind Quintet","Soni Ventorum Wind Quintet","Oliver Seely","JOHN1",250,"A#+"
2078,"Cambini","Wind Quintet No 2 in D Minor","1. Allegro espressivo","Wind Quintet","Soni Ventorum Wind Quintet","Oliver Seely","JOHN2",355,"D-"
2079,"Cambini","Wind Quintet No 2 in D Minor","2. Larghetto sostenuto ma con moto","Wind Quintet","Soni Ventorum Wind Quintet","Oliver Seely","JOHN2",278,"D-"
2080,"Cambini","Wind Quintet No 2 in D Minor","3. Presto ma non tanto","Wind Quintet","Soni Ventorum Wind Quintet","Oliver Seely","JOHN2",233,"D-"
2081,"Cambini","Wind Quintet No 3 in F Major","1. Allegro maestoso","Wind Quintet","Soni Ventorum Wind Quintet","Oliver Seely","JOHN3",299,"F+"
2082,"Cambini","Wind Quintet No 3 in F Major","2. Larghetto sostenuto","Wind Quintet","Soni Ventorum Wind Quintet","Oliver Seely","JOHN3",341,"F+"
2083,"Cambini","Wind Quintet No 3 in F Major","3. Rondo Allegro con brio","Wind Quintet","Soni Ventorum Wind Quintet","Oliver Seely","JOHN3",245,"F+"
2104,"Haydn","Quartet No 53 in D major","1. Allegro moderato","String Quartet","Museopen","Andrew D. Lawson","OP64NO5",371,"D+"
2105,"Haydn","Quartet No 53 in D major","2. Adagio - Cantabile","String Quartet","Museopen","Andrew D. Lawson","OP64NO5",291,"D+"
2106,"Haydn","Quartet No 53 in D major","3. Menuetto: Allegretto","String Quartet","Museopen","Andrew D. Lawson","OP64NO5",226,"D+"
2112,"Brahms","Cello Sonata No 1 in E minor","1. Allegro non troppo","Accompanied Cello","Stefano Ligoratti","Eric L. Schissel","OP38",897,"E-"
2113,"Brahms","Cello Sonata No 1 in E minor","2. Allegretto quasi Menuetto","Accompanied Cello","Stefano Ligoratti","Eric L. Schissel","OP38",352,"E-"
2114,"Brahms","Cello Sonata No 1 in E minor","3. Allegro","Accompanied Cello","Stefano Ligoratti","Eric L. Schissel","OP38",403,"E-"
2116,"Brahms","Clarinet Sonata No 1 in F minor","1. Allegro appassionato","Accompanied Clarinet","Ben Redwine","clarinetinstitute","OP120NO1",410,"F-"
2117,"Brahms","Clarinet Sonata No 1 in F minor","2. Andante un poco Adagio","Accompanied Clarinet","Ben Redwine","clarinetinstitute","OP120NO1",266,"F-"
2118,"Brahms","Clarinet Sonata No 1 in F minor","3. Allegretto grazioso","Accompanied Clarinet","Ben Redwine","clarinetinstitute","OP120NO1",232,"F-"
2119,"Brahms","Clarinet Sonata No 1 in F minor","4. Vivace","Accompanied Clarinet","Ben Redwine","clarinetinstitute","OP120NO1",294,"F-"
2127,"Brahms","Serenade No 1 in D Major","2. Scherzo. Allegro non troppo","Wind and Strings Octet","European Archive","Oliver Seely","OP11",518,"D+"
2131,"Brahms","Serenade No 1 in D Major","6. Rondo. Allegro","Wind and Strings Octet","European Archive","Oliver Seely","OP11",274,"D+"
2138,"Brahms","String Quartet in C minor","2. Romanze: Poco adagio","String Quartet","European Archive","harfesoft.de","OP51NO1",429,"C-"
2140,"Brahms","String Quartet in C minor","4. Allegro","String Quartet","European Archive","harfesoft.de","OP51NO1",381,"C-"
2147,"Brahms","String Sextet No 2 in G major","4. Poco allegro","String Sextet","European Archive","harfesoft.de","OP36",501,"G+"
2148,"Brahms","Piano Quartet No 1 in G minor","1. Allegro","Piano Quartet","Roxana Pavel Goldstein","harfesoft.de","OP25",822,"G-"
2149,"Brahms","Piano Quartet No 1 in G minor","2. Intermezzo: Allegro ma non troppo","Piano Quartet","Roxana Pavel Goldstein","harfesoft.de","OP25",476,"G-"
2150,"Brahms","Piano Quartet No 1 in G minor","3. Andante con moto","Piano Quartet","Roxana Pavel Goldstein","harfesoft.de","OP25",599,"G-"
2151,"Brahms","Piano Quartet No 1 in G minor","4. Rondo alla Zingarese: Presto","Piano Quartet","Roxana Pavel Goldstein","harfesoft.de","OP25",533,"G-"
2154,"Brahms","String Sextet No 1 in B-flat major","1. Allegro ma non troppo","String Sextet","Carl Banner","harfesoft.de","OP18",894,"A#+"
2155,"Brahms","String Sextet No 1 in B-flat major","2. Andante, ma moderato","String Sextet","Carl Banner","harfesoft.de","OP18",606,"A#+"
2156,"Brahms","String Sextet No 1 in B-flat major","3. Scherzo. Allegro molto","String Sextet","Carl Banner","harfesoft.de","OP18",192,"A#+"
2157,"Brahms","String Sextet No 1 in B-flat major","4. Rondo: Poco Allegretto e grazioso","String Sextet","Carl Banner","harfesoft.de","OP18",661,"A#+"
2158,"Brahms","Horn Trio in E-flat major","1. Andante","Horn Piano Trio","European Archive","David Rothschild","OP40",482,"D#+"
2159,"Brahms","Horn Trio in E-flat major","2. Scherzo (Allegro)","Horn Piano Trio","European Archive","David Rothschild","OP40",466,"D#+"
2160,"Brahms","Horn Trio in E-flat major","3. Adagio mesto","Horn Piano Trio","European Archive","David Rothschild","OP40",446,"D#+"
2161,"Brahms","Horn Trio in E-flat major","4. Allegro con brio","Horn Piano Trio","European Archive","David Rothschild","OP40",397,"D#+"
2166,"Faure","Piano Quartet No 2 in G minor","1. Allegro molto moderato","Piano Quartet","European Archive","Gregory Richardson","OP45",639,"G-"
2167,"Faure","Piano Quartet No 2 in G minor","2. Allegro molto","Piano Quartet","European Archive","Gregory Richardson","OP45",193,"G-"
2168,"Faure","Piano Quartet No 2 in G minor","3. Adagio non troppo","Piano Quartet","European Archive","Gregory Richardson","OP45",612,"G-"
2169,"Faure","Piano Quartet No 2 in G minor","4. Allegro molto","Piano Quartet","European Archive","Gregory Richardson","OP45",519,"G-"
2177,"Ravel","String Quartet in F","1. Allegro moderato - tres doux","String Quartet","Musicians from Marlboro","Gregory Richardson","35",490,"F+"
2178,"Ravel","String Quartet in F","2. Assez vif - tres rythme","String Quartet","Musicians from Marlboro","Gregory Richardson","35",355,"F+"
2179,"Ravel","String Quartet in F","3. Tres lent","String Quartet","Musicians from Marlboro","Gregory Richardson","35",505,"F+"
2180,"Ravel","String Quartet in F","4. Vif et agite","String Quartet","Musicians from Marlboro","Gregory Richardson","35",293,"F+"
2186,"Bach","Violin Partita No 3 in E major","1. Preludio","Solo Violin","Oliver Colbentston","suzumidi","BWV1006",214,"E+"
2191,"Bach","Violin Partita No 3 in E major","6. Bourree","Solo Violin","Oliver Colbentston","suzumidi","BWV1006",102,"E+"
2194,"Bach","WTK I, No. 13: Prelude and Fugue in F-sharp major","1. Prelude","Solo Piano","Kimiko Ishizaka","www.bachcentral.com","BWV858",100,"F#+"
2195,"Bach","WTK I, No. 3: Prelude and Fugue in C-sharp major","2. Fugue","Solo Piano","Kimiko Ishizaka","www.bachcentral.com","BWV848",155,"C#+"
2196,"Bach","WTK I, No. 3: Prelude and Fugue in C-sharp major","1. Prelude","Solo Piano","Kimiko Ishizaka","www.bachcentral.com","BWV848",75,"C#+"
2198,"Bach","WTK I, No. 22: Prelude and Fugue in B-flat minor","2. Fugue","Solo Piano","Kimiko Ishizaka","www.bachcentral.com","BWV867",197,"A#-"
2200,"Bach","WTK I, No. 16: Prelude and Fugue in G minor","2. Fugue","Solo Piano","Kimiko Ishizaka","www.bachcentral.com","BWV861",113,"G-"
2201,"Bach","WTK I, No. 16: Prelude and Fugue in G minor","1. Prelude","Solo Piano","Kimiko Ishizaka","www.bachcentral.com","BWV861",134,"G-"
2202,"Bach","Partita in A minor","1. Allemande","Solo Flute","Scott Goff","David J. Grossman","BWV1013",181,"A-"
2203,"Bach","Partita in A minor","2. Corrente","Solo Flute","Scott Goff","David J. Grossman","BWV1013",156,"A-"
2204,"Bach","Partita in A minor","3. Sarabande","Solo Flute","Scott Goff","David J. Grossman","BWV1013",132,"A-"
2207,"Bach","WTK I, No. 10: Prelude and Fugue in E minor","2. Fugue","Solo Piano","Kimiko Ishizaka","www.bachcentral.com","BWV855",89,"E-"
2208,"Bach","WTK I, No. 10: Prelude and Fugue in E minor","1. Prelude","Solo Piano","Kimiko Ishizaka","www.bachcentral.com","BWV855",120,"E-"
2209,"Bach","WTK I, No. 4: Prelude and Fugue in C-sharp minor","2. Fugue","Solo Piano","Kimiko Ishizaka","www.bachcentral.com","BWV849",160,"C#-"
2210,"Bach","WTK I, No. 4: Prelude and Fugue in C-sharp minor","1. Prelude","Solo Piano","Kimiko Ishizaka","www.bachcentral.com","BWV849",178,"C#-"
2211,"Bach","WTK I, No. 12: Prelude and Fugue in F minor","2. Fugue","Solo Piano","Kimiko Ishizaka","www.bachcentral.com","BWV857",237,"F-"
2212,"Bach","WTK I, No. 12: Prelude and Fugue in F minor","1. Prelude","Solo Piano","Kimiko Ishizaka","www.bachcentral.com","BWV857",173,"F-"
2213,"Bach","WTK I, No. 2: Prelude and Fugue in C minor","2. Fugue","Solo Piano","Kimiko Ishizaka","www.bachcentral.com","BWV847",115,"C-"
2214,"Bach","WTK I, No. 2: Prelude and Fugue in C minor","1. Prelude","Solo Piano","Kimiko Ishizaka","www.bachcentral.com","BWV847",107,"C-"
2215,"Bach","WTK I, No. 1: Prelude and Fugue in C major","2. Fugue","Solo Piano","Kimiko Ishizaka","www.bachcentral.com","BWV846",116,"C+"
2217,"Bach","Cello Suite 3","1. Prelude","Solo Cello","European Archive","David J. Grossman","BWV1009",186,"C+"
2218,"Bach","Cello Suite 3","2. Allemande","Solo Cello","European Archive","David J. Grossman","BWV1009",199,"C+"
2219,"Bach","Cello Suite 3","3. Courante","Solo Cello","European Archive","David J. Grossman","BWV1009",260,"C+"
2220,"Bach","Cello Suite 3","4. Sarabande","Solo Cello","European Archive","David J. Grossman","BWV1009",302,"C+"
2221,"Bach","Cello Suite 3","5. Bouree","Solo Cello","European Archive","David J. Grossman","BWV1009",241,"C+"
2222,"Bach","Cello Suite 3","6. Gigue","Solo Cello","European Archive","David J. Grossman","BWV1009",202,"C+"
2224,"Bach","WTK I, No. 7: Prelude and Fugue in E-flat major","2. Fugue","Solo Piano","Kimiko Ishizaka","www.bachcentral.com","BWV852",108,"D#+"
2225,"Bach","WTK I, No. 7: Prelude and Fugue in E-flat major","1. Prelude","Solo Piano","Kimiko Ishizaka","www.bachcentral.com","BWV852",213,"D#+"
2227,"Bach","WTK I, No. 6: Prelude and Fugue in D minor","2. Fugue","Solo Piano","Kimiko Ishizaka","www.bachcentral.com","BWV851",129,"D-"
2228,"Bach","WTK I, No. 6: Prelude and Fugue in D minor","1. Prelude","Solo Piano","Kimiko Ishizaka","www.bachcentral.com","BWV851",98,"D-"
2229,"Bach","WTK I, No. 20: Prelude and Fugue in A minor","2. Fugue","Solo Piano","Kimiko Ishizaka","www.bachcentral.com","BWV865",244,"A-"
2230,"Bach","WTK I, No. 20: Prelude and Fugue in A minor","1. Prelude","Solo Piano","Kimiko Ishizaka","www.bachcentral.com","BWV865",84,"A-"
2231,"Bach","WTK I, No. 21: Prelude and Fugue in B-flat major","2. Fugue","Solo Piano","Kimiko Ishizaka","www.bachcentral.com","BWV866",115,"A#+"
2232,"Bach","WTK I, No. 21: Prelude and Fugue in B-flat major","1. Prelude","Solo Piano","Kimiko Ishizaka","www.bachcentral.com","BWV866",78,"A#+"
2234,"Bach","WTK I, No. 11: Prelude and Fugue in F major","1. Prelude","Solo Piano","Kimiko Ishizaka","www.bachcentral.com","BWV856",64,"F+"
2237,"Bach","WTK I, No. 23: Prelude and Fugue in B major","2. Fugue","Solo Piano","Kimiko Ishizaka","www.bachcentral.com","BWV868",109,"B+"
2238,"Bach","WTK I, No. 23: Prelude and Fugue in B major","1. Prelude","Solo Piano","Kimiko Ishizaka","www.bachcentral.com","BWV868",60,"B+"
2239,"Bach","WTK I, No. 17: Prelude and Fugue in A-flat major","2. Fugue","Solo Piano","Kimiko Ishizaka","www.bachcentral.com","BWV862",120,"G#+"
2240,"Bach","WTK I, No. 17: Prelude and Fugue in A-flat major","1. Prelude","Solo Piano","Kimiko Ishizaka","www.bachcentral.com","BWV862",92,"G#+"
2241,"Bach","Violin Sonata No 1 in G minor","1. Adagio","Solo Violin","European Archive","suzumidi","BWV1001",242,"G-"
2242,"Bach","Violin Sonata No 1 in G minor","2. Fuga","Solo Violin","European Archive","suzumidi","BWV1001",312,"G-"
2243,"Bach","Violin Sonata No 1 in G minor","3. Siciliana","Solo Violin","European Archive","suzumidi","BWV1001",193,"G-"
2244,"Bach","Violin Sonata No 1 in G minor","4. Presto","Solo Violin","European Archive","suzumidi","BWV1001",214,"G-"
2247,"Bach","WTK I, No. 9: Prelude and Fugue in E major","2. Fugue","Solo Piano","Kimiko Ishizaka","www.bachcentral.com","BWV854",81,"E+"
2248,"Bach","WTK I, No. 9: Prelude and Fugue in E major","1. Prelude","Solo Piano","Kimiko Ishizaka","www.bachcentral.com","BWV854",104,"E+"
2282,"Bach","Violin Sonata in B minor","1. Adagio","Violin and Harpsichord","Paul Pitman","suzumidi","BWV1014",313,"B-"
2283,"Bach","Violin Sonata in B minor","2. Allegro","Violin and Harpsichord","Paul Pitman","suzumidi","BWV1014",192,"B-"
2284,"Bach","Violin Sonata in B minor","3. Andante","Violin and Harpsichord","Paul Pitman","suzumidi","BWV1014",227,"B-"
2285,"Bach","Violin Sonata in B minor","4. Allegro","Violin and Harpsichord","Paul Pitman","suzumidi","BWV1014",225,"B-"
2288,"Bach","Violin Partita No 1 in B minor","2. Corrente","Solo Violin","John Garner","suzumidi","BWV1002",191,"B-"
2289,"Bach","Violin Partita No 1 in B minor","3. Sarabande","Solo Violin","John Garner","suzumidi","BWV1002",203,"B-"
2292,"Bach","WTK I, No. 19: Prelude and Fugue in A major","1. Prelude","Solo Piano","Kimiko Ishizaka","www.bachcentral.com","BWV864",91,"A+"
2293,"Bach","Cello Suite 4","1. Prelude","Solo Cello","European Archive","David J. Grossman","BWV1010",310,"D#+"
2294,"Bach","Cello Suite 4","2. Allemande","Solo Cello","European Archive","David J. Grossman","BWV1010",228,"D#+"
2295,"Bach","Cello Suite 4","3. Courante","Solo Cello","European Archive","David J. Grossman","BWV1010",259,"D#+"
2296,"Bach","Cello Suite 4","4. Sarabande","Solo Cello","European Archive","David J. Grossman","BWV1010",291,"D#+"
2297,"Bach","Cello Suite 4","5. Bouree","Solo Cello","European Archive","David J. Grossman","BWV1010",334,"D#+"
2298,"Bach","Cello Suite 4","6. Gigue","Solo Cello","European Archive","David J. Grossman","BWV1010",153,"D#+"
2300,"Bach","WTK I, No. 8: Prelude and Fugue in E-flat minor","1. Prelude","Solo Piano","Kimiko Ishizaka","www.bachcentral.com","BWV853",238,"D#-"
2302,"Bach","WTK I, No. 5: Prelude and Fugue in D major","2. Fugue","Solo Piano","Kimiko Ishizaka","www.bachcentral.com","BWV850",108,"D+"
2303,"Bach","WTK I, No. 5: Prelude and Fugue in D major","1. Prelude","Solo Piano","Kimiko Ishizaka","www.bachcentral.com","BWV850",92,"D+"
2304,"Bach","WTK I, No. 14: Prelude and Fugue in F-sharp minor","2. Fugue","Solo Piano","Kimiko Ishizaka","www.bachcentral.com","BWV859",196,"F#-"
2305,"Bach","WTK I, No. 14: Prelude and Fugue in F-sharp minor","1. Prelude","Solo Piano","Kimiko Ishizaka","www.bachcentral.com","BWV859",65,"F#-"
2307,"Bach","WTK I, No. 18: Prelude and Fugue in G-sharp minor","2. Fugue","Solo Piano","Kimiko Ishizaka","www.bachcentral.com","BWV863",137,"G#-"
2308,"Bach","WTK I, No. 18: Prelude and Fugue in G-sharp minor","1. Prelude","Solo Piano","Kimiko Ishizaka","www.bachcentral.com","BWV863",121,"G#-"
2310,"Bach","WTK I, No. 15: Prelude and Fugue in G major","1. Prelude","Solo Piano","Kimiko Ishizaka","www.bachcentral.com","BWV860",55,"G+"
2313,"Beethoven","String Quartet No 15 in A minor","1. Allegro","String Quartet","European Archive","suzumedia","OP132",593,"A-"
2314,"Beethoven","String Quartet No 15 in A minor","2. Allegro ma non tanto","String Quartet","European Archive","suzumedia","OP132",568,"A-"
2315,"Beethoven","String Quartet No 15 in A minor","3. Molto Adagio; Andante","String Quartet","European Archive","suzumedia","OP132",1069,"A-"
2318,"Beethoven","Trio in E-flat major","1. Allegro moderato","Clarinet-Cello-Piano Trio","Paul Pitman","harfesoft.de","OP38",641,"D#-"
2319,"Beethoven","Trio in E-flat major","2. Scherzo: Allegro ma non troppo","Clarinet-Cello-Piano Trio","Paul Pitman","harfesoft.de","OP38",620,"D#-"
2320,"Beethoven","Trio in E-flat major","3. Rondo: Allegro","Clarinet-Cello-Piano Trio","Paul Pitman","harfesoft.de","OP38",222,"D#-"
2322,"Beethoven","Piano Sonata No 23 in F minor","1. Allegro assai","Solo Piano","Paul Pitman","piano-midi.de","OP57",645,"F-"
2325,"Beethoven","Piano Sonata No 23 in F minor","1. Allegro assai","Solo Piano","European Archive","piano-midi.de","OP57",551,"F-"
2330,"Beethoven","Violin Sonata No 1 in D major","1. Allegro con brio","Accompanied Violin","Timothy Jones","Darren L. Slider","OP12NO1",532,"D+"
2334,"Beethoven","Violin Sonata No 8 in G major","1. Allegro assai","Accompanied Violin","Edward Auer","suzumedia","OP30NO3",409,"G+"
2335,"Beethoven","Violin Sonata No 8 in G major","2. Tempo di minuetto, ma molto moderato e grazioso","Accompanied Violin","Edward Auer","suzumedia","OP30NO3",422,"G+"
2336,"Beethoven","Violin Sonata No 8 in G major","3. Allegro vivace","Accompanied Violin","Edward Auer","suzumedia","OP30NO3",197,"G+"
2341,"Beethoven","Violin Sonata No 8 in G major","2. Tempo di minuetto, ma molto moderato e grazioso","Accompanied Violin","European Archive","suzumedia","OP30NO3",460,"G+"
2342,"Beethoven","Violin Sonata No 8 in G major","3. Allegro vivace","Accompanied Violin","European Archive","suzumedia","OP30NO3",192,"G+"
2343,"Beethoven","Piano Sonata No 14 in C-sharp minor","1. Adagio sostenuto","Solo Piano","Stefano Ligoratti","piano-midi.de","OP27NO2",332,"C#-"
2345,"Beethoven","Piano Sonata No 14 in C-sharp minor","3. Presto agitato","Solo Piano","Stefano Ligoratti","piano-midi.de","OP27NO2",443,"C#-"
2346,"Beethoven","Piano Sonata No 14 in C-sharp minor","1. Adagio sostenuto","Solo Piano","Paul Pitman","piano-midi.de","OP27NO2",335,"C#-"
2348,"Beethoven","Piano Sonata No 14 in C-sharp minor","3. Presto agitato","Solo Piano","Paul Pitman","piano-midi.de","OP27NO2",493,"C#-"
2350,"Beethoven","Piano Sonata No 14 in C-sharp minor","1. Adagio sostenuto","Solo Piano","Glen W. Prillaman","piano-midi.de","OP27NO2",276,"C#-"
2357,"Beethoven","Piano Sonata No 15 in D major","2. Andante","Solo Piano","Paul Pitman","piano-midi.de","OP28",357,"D+"
2358,"Beethoven","Piano Sonata No 15 in D major","3. Scherzo: Allegro vivace","Solo Piano","Paul Pitman","piano-midi.de","OP28",137,"D+"
2359,"Beethoven","Piano Sonata No 15 in D major","4. Rondo: Allegro ma non troppo","Solo Piano","Paul Pitman","piano-midi.de","OP28",304,"D+"
